"","patent_id","ipc_section"
"319","10000207","H"
"320","10000208","B"
"321","10000208","G"
"322","10000209","B"
"323","10000210","B"
"324","10000210","G"
"325","10000211","B"
"326","10000211","G"
"327","10000212","B"
"328","10000213","B"
"329","10000213","G"
"330","10000213","H"
"331","10000214","B"
"332","10000215","B"
"333","10000216","B"
"334","10000216","G"
"335","10000217","B"
"336","10000217","H"
"337","10000218","B"
"338","10000218","G"
"339","10000219","B"
"340","10000220","F"
"341","10000220","B"
"342","10000221","B"
"343","10000221","E"
"344","10000222","B"
"345","10000223","B"
"346","10000224","B"
"347","10000225","B"
"348","10000225","A"
"349","10000226","B"
"350","10000227","B"
"351","10000227","G"
"352","10000227","F"
"353","10000228","B"
"354","10000229","B"
"355","10000230","B"
"356","10000230","E"
"357","10000230","F"
"358","10000230","A"
"359","10000231","F"
"360","10000231","B"
"361","10000232","B"
"362","10000233","H"
"363","10000233","B"
"364","10000234","B"
"365","10000235","B"
"366","10000236","B"
"367","10000236","G"
"368","10000237","B"
"369","10000237","G"
"370","10000238","B"
"371","10000239","B"
"372","10000240","B"
"373","10000241","B"
"374","10000242","B"
"375","10000243","B"
"376","10000244","B"
"377","10000245","B"
"378","10000246","B"
"379","10000247","B"
"380","10000247","E"
"381","10000248","B"
"382","10000249","G"
"383","10000249","B"
"384","10000250","B"
"385","10000251","B"
"386","10000252","B"
"387","10000253","B"
"388","10000253","F"
"389","10000254","B"
"390","10000255","F"
"391","10000255","B"
"392","10000256","B"
"393","10000257","B"
"394","10000258","B"
"395","10000259","B"
"396","10000259","E"
"397","10000259","G"
"398","10000260","H"
"399","10000260","B"
"400","10000260","F"
"401","10000260","G"
"402","10000261","B"
"403","10000262","B"
"404","10000262","G"
"405","10000263","B"
"406","10000264","B"
"407","10000265","B"
"408","10000265","G"
"409","10000266","B"
"410","10000266","G"
"411","10000266","A"
"412","10000267","B"
"413","10000267","G"
"414","10000268","H"
"415","10000268","B"
"416","10000269","B"
"417","10000270","B"
"418","10000271","B"
"419","10000271","E"
"420","10000272","B"
"421","10000272","C"
"422","10000273","B"
"423","10000274","B"
"424","10000275","B"
"425","10000276","B"
"426","10000276","F"
"427","10000277","B"
"428","10000277","F"
"429","10000278","B"
"430","10000279","B"
"431","10000280","B"
"432","10000281","B"
"433","10000281","G"
"434","10000282","B"
"435","10000282","F"
"436","10000283","B"
"437","10000283","F"
"438","10000283","G"
"439","10000284","B"
"440","10000285","B"
"441","10000285","G"
"442","10000286","B"
"443","10000287","B"
"444","10000287","E"
"445","10000287","F"
"446","10000288","B"
"447","10000289","B"
"448","10000289","G"
"449","10000290","B"
"450","10000291","B"
"451","10000292","A"
"452","10000292","B"
"453","10000293","B"
"454","10000294","B"
"455","10000295","F"
"456","10000295","B"
"457","10000296","B"
"458","10000296","F"
"459","10000296","H"
"460","10000297","G"
"461","10000297","B"
"462","10000298","G"
"463","10000298","B"
"464","10000299","B"
"465","10000300","G"
"466","10000300","B"
"467","10000300","F"
"468","10000301","B"
"469","10000301","A"
"470","10000302","B"
"471","10000302","A"
"472","10000303","B"
"473","10000304","B"
"474","10000304","G"
"475","10000305","A"
"476","10000305","B"
"477","10000305","C"
"478","10000306","B"
"479","10000306","D"
"480","10000307","B"
"481","10000308","B"
"482","10000309","B"
"483","10000310","B"
"484","10000311","B"
"485","10000312","B"
"486","10000312","A"
"487","10000313","B"
"488","10000314","B"
"489","10000315","A"
"490","10000315","B"
"491","10000315","F"
"492","10000316","B"
"493","10000316","F"
"494","10000317","B"
"495","10000318","F"
"496","10000318","B"
"497","10000319","B"
"498","10000319","A"
"499","10000320","B"
"500","10000321","B"
"501","10000322","B"
"502","10000323","B"
"503","10000323","A"
"504","10000324","B"
"505","10000325","B"
"506","10000326","B"
"507","10000327","B"
"508","10000327","G"
"509","10000328","B"
"510","10000329","B"
"511","10000329","F"
"512","10000330","B"
"513","10000331","B"
"514","10000332","B"
"515","10000332","A"
"516","10000332","D"
"517","10000333","F"
"518","10000333","B"
"519","10000334","B"
"520","10000335","B"
"521","10000336","B"
"522","10000337","B"
"523","10000338","B"
"524","10000339","B"
"525","10000339","C"
"526","10000340","B"
"527","10000341","B"
"528","10000342","B"
"529","10000343","B"
"530","10000343","F"
"531","10000344","B"
"532","10000345","B"
"533","10000345","E"
"534","10000346","B"
"535","10000347","B"
"536","10000348","B"
"537","10000349","B"
"538","10000349","G"
"539","10000349","F"
"540","10000350","B"
"541","10000351","B"
"542","10000352","B"
"543","10000352","H"
"544","10000353","B"
"545","10000354","B"
"546","10000355","B"
"547","10000355","G"
"548","10000356","B"
"549","10000357","B"
"550","10000358","F"
"551","10000358","B"
"552","10000358","E"
"553","10000359","B"
"554","10000359","H"
"555","10000360","B"
"556","10000361","B"
"557","10000362","B"
"558","10000362","G"
"559","10000363","B"
"560","10000364","B"
"561","10000365","B"
"562","10000365","F"
"563","10000366","B"
"564","10000366","F"
"565","10000367","B"
"566","10000367","G"
"567","10000368","B"
"568","10000369","B"
"569","10000370","B"
"570","10000370","A"
"571","10000370","G"
"572","10000371","B"
"573","10000371","H"
"574","10000372","B"
"575","10000373","H"
"576","10000373","B"
"577","10000374","H"
"578","10000374","B"
"579","10000375","B"
"580","10000376","H"
"581","10000376","B"
"582","10000377","C"
"583","10000377","B"
"584","10000377","H"
"585","10000378","C"
"586","10000378","B"
"587","10000379","C"
"588","10000380","C"
"589","10000381","H"
"590","10000381","C"
"591","10000382","C"
"592","10000382","B"
"593","10000383","B"
